Username,Handle,Tweet,Hashtags,Replies,Retweets,Likes
Detectives' Endowment Association,,"It's been five years since hero NYPD Detective Raymond Abear was taken from us due to  #COVID19 . Ray’s legacy of dedicated service will forever be in our hearts as we remember him as one of ""The Greatest Detectives in the World.” Today, the DEA renews the solemn vow to",#COVID19,,,
USD (P&R),,"Tim Dill, PTDO DUSD for personnel and readiness, told reporters in a press briefing Tuesday that the military would soon send “letters of apology” to the more than 8,700 Service members involuntarily separated for refusal to take the  #COVID19  vaccine.",#COVID19,,,
Monash University School of Clinical Sciences,,"Congratulations to Rizliya Visvanathan from the Dept of Nutrition, Dietetics and Food within  @SCSMonash  on receiving the prestigious Mollie Holman Doctoral Medal from  @MonashUni  for her excellent research on plant compounds' potential to address  #type2diabetes  and  #COVID19 . 
A","#type2diabetes, #COVID19",,,
AMA,,"""Thankfully, after a pretty severe  #fluseason , cases have continued to decline. Flu is still something to be mindful of, as  @CDCgov  is expecting more several more weeks of flu activity ahead.""  @AndreaGarciaWan  updates us on recent  #flu  and  #COVID19  activity.","#fluseason, #flu, #COVID19",,,
Monty Sehgal,,"While  @IndianOilcl @BPCLimited @HPCL  are making Huge Profits due to Lower Crude Oil Prices, Kindly increase Margins of  #PetroDealers  by just Rs 1/ltr on  #Petrol  &  #Diesel , who operated under Huge losses during  #Covid19 #lockdown  &  #Restrictions  to keep moving Wheels of","#PetroDealers, #Petrol, #Diesel, #Covid19, #lockdown, #Restrictions",,,
Adam Van Bavel,,"14:55 *a very powerful moment in time

Why? @MrBeast  (largest YouTube creator) discussing Chron’s disease on  @StevenBartlett  AND having had  #COVID19  6 times (known infections).

Chron’s is an immune disease. It’s a gut disease. It’s an inflammatory disease. It’s chronic. 

And",#COVID19,,,
PanDanTag,,"Ce n'est plus une erreur médicale, c'est une boucherie !

1 120 fois plus de risque des faire une thrombose veineuse cérébrale avec les vaccins  #COVID19  qu'avec les vaccins contre la grippe. https:// ms/article/view/1982/1420 …",#COVID19,,,
Keck School of Medicine of USC,,"Over the past 4 years, the  @US_FDA  has approved several  #COVID19  treatments—from antivirals to monoclonal antibodies.  A recent review by our researchers shows that these therapies are primarily safe and cause few serious side effects. https:// d-19-treatments-found-to-be-free-of-serious-side-effects-in-analysis-of-u-s-studies/ … #Research","#COVID19, #Research",,,
Iain Ballesty,,"COVID-19 cases stable in Ireland (138 in week 15, 130 in week 14), but hospitalizations up 35.9% (39 to 53). ICU admissions & deaths low. XEC variant (48.2%) declining, LP.8.1 (16.9%) rising. Wastewater viral loads mostly stable, some increases.  #COVID19 #Ireland #LongCovid","#COVID19, #Ireland, #LongCovid",,,
"SharonBC,Canada",,"* COVID19 Update for April 14, 2025 *
* Present Not Past Tense *
Lizzietraveler  @BettyB2007 #USA #COVID19 #Canada #N95 #MaskUp #COVIDisNotOver #ventilation #airfiltration  Build an easy to make  #CorsiRosenthal","#USA, #COVID19, #Canada, #N95, #MaskUp, #COVIDisNotOver, #ventilation, #airfiltration, #CorsiRosenthal",,,
Hope No. 8,,"イベルメクチンはCOVID-19の治療に安全且つ効果的、優れた抗癌効果を示す
マッカロー博士：イベルメクチンはCOVID-19の治療に安全かつ有効で、優れた抗がん効果を示す！ #マッカロー博士 #イベルメクチン #COVID19","#マッカロー博士, #イベルメクチン, #COVID19",,,
Deyanira Gómez,,"El Gobierno quita gu’to de  @luisabinader . Ya no son las bocinas ni los kitipós, ahora son las piscinas, mesas de dominó y prohibidas las habichuelas, ¿volvimos al  #Covid19  en  #SemanaSanta2025 ? ","#Covid19, #SemanaSanta2025",,,
Legal Affairs Canada,,31 Supreme Court Canada leave to appeal decisions April 17. Charter trial in reasonable time and judicial vacancy. Trial delays and  #covid19 . Trial delays and election mode. Trial delays and adjournments. Human rights and aviation convention. Charter and covid19 benefits.  #SCC,"#covid19, #SCC",,,
Bill Lee,,Freezer trucks were filled with with Americans who were killed by Donald J. Trump during his first term.  #Covid19,#Covid19,,,
Mjukuu wa Ibada,,"Wale  #Njaa55  kama wanataka Ubunge ambao kimsingi bila kupewa hakuna mwenye uwezo wa kushinda Jimbo, njia nyeupe waende vyama shikizi.

Hofu yasije kutokea kama ya  #Covid19 .","#Njaa55, #Covid19",,,
Jamie Metzl,,Today we are releasing our draft legislation holding the Chinese government accountable and liable for the  #COVID19  pandemic. The US Congress must pass this legislation and send it the the President for signature.,#COVID19,,,
USD (P&R),,Thank you for bringing this to our attention. No former Service member will be asked to say they were not coerced if they want to apply for reinstatement after voluntarily leaving the military to avoid taking a  #COVID19  vaccine.  https:// ID-19-Reinstatement/ …,#COVID19,,,
AllicinV ( 大蒜素-V ) - (TM),,Oil Executives don't have time to be lied to.  #USA #MadeInAmerica #Truth #Technology #SARS #SARSCov2 #Covid #Covid19 #Immunity #Immunology #Virtue #Justice #Shielding #Detoxing #AllicinV,"#USA, #MadeInAmerica, #Truth, #Technology, #SARS, #SARSCov2, #Covid, #Covid19, #Immunity, #Immunology, #Virtue, #Justice, #Shielding, #Detoxing, #AllicinV",,,
Keith,,#Covid19 #BringBackMasks #LongCovid #teacher #LongCovidKids,"#Covid19, #BringBackMasks, #LongCovid, #teacher, #LongCovidKids",,,
APPRISE,,"Reports: Paxlovid doesn't relieve adult  #longCOVID  symptoms, prevent condition in youth  #COVID19 In  @CIDRAP https://","#longCOVID, #COVID19",,,
PanDanTag,,"#COVID19  et myocardite  Quand les risques avérés l'emportent sur le bénéfice théorique
""Compte tenu des preuves, la cardiotoxicité et les événements cardiaques graves chez les jeunes, nous recommandons le retrait immédiat du marché des produits à base d'ARNm contre la COVID""",#COVID19,,,
Maria,,En edes laita tähän muuta kommenttia kun että me keväällä -20 long covidiin sairastuneet osasimme odottaa juuri tällaisia otsikoita tulevaksi.. #covid19  not a flu..,#covid19,,,
AllicinV ( 大蒜素-V ) - (TM),,"AllicinV can save your day when you wake up in a Houston hotel feeling bad from what the people who slept there before you had and you test positive for  #Covid19  in the walk-in clinic across the street. Especially, when you have a full day of business meetings planned  out.",#Covid19,,,
bataille kahlenberg,,Qui se vaccine encore contre la  #covid19  e n 2025 ? ,#covid19,,,
加藤博／ぽよよん,,Σ(･ω･ノ)ノ 私は７回COVID-19ワクチン接種して、先日罹患してしまいました。快復後から軽く左手が痺れています。 #COVID19 #六四天安門,"#COVID19, #六四天安門",,,
Star,,"We know  #SARSCoV2  is NOT a Respiratory Disease   

But Is  Systemic Disease causing Multiple Organ Damage including 

Vascular
Heart
Kidney
Liver
Spleen 
Pancreatic
Mitochondria 
Autonomic & Nerves
Brain DAMAGE ",#SARSCoV2,,,
Daniel Salazar,,"Hace 5 años, en plena pandemia, celebramos la Vigilia Pascual en Santa Lucía Ilopango. Una patrulla intentó cancelarla, pero la fe fue más fuerte.  #TBT #COVID19 #VigiliaPascual #Ilopango","#TBT, #COVID19, #VigiliaPascual, #Ilopango",,,
GOLDEN AGE GOSSIP,,"IF YOU WANT TO KNOW EVERYTHING ABOUT COVID 19  WATCH THIS, EXPLAINS EVERYTHING FROM THE CDC DIRECTOR THAT WAS SILENCED  @ChrisCuomo #usa #canada #CanadaDebate #trump #breaking #COVID19 #Covid #cnn #bbc #fox #FoxNews","#usa, #canada, #CanadaDebate, #trump, #breaking, #COVID19, #Covid, #cnn, #bbc, #fox, #FoxNews",,,
Christos Argyropoulos MD PhD FlozinatorInChief,,"Shot: common cold virus we have all caught (*) increases the risk of dementia

Chaser: The common virus is  #Covid19 (*) which our newspaper, among others, told you it is no biggie, so you kept getting and encouraged your kids to get it too.

Left: the paper, right: herd immunity",#Covid19,,,
ShanghaiPanda,,"This is a timeline of  #covid19   epidemic that I compiled. Where did the terrible virus come from?
No one knows yet.
BUT... the US army team win 0 gold medal in Wuhan.
Were they really athletes? #Wuhan","#covid19, #Wuhan",,,
D1s4b1l1ty-J4ck,,Nine days of Covid sucks balls. Nine days straight positive tests.  #COVID19,#COVID19,,,
Ministère de la Santé et de l'Accès aux soins,,"#VaccinerProtéger  | Le renouvellement vaccinal contre le  #Covid19  est lancé à partir d'aujourd'hui et se poursuit jusqu'au 14 juin,  Il est recommandé pour les personnes les plus fragiles, exposées aux risques de complications graves.  Pour en savoir plus :","#VaccinerProtéger, #Covid19",,,
Clutch023,,Is It Safe To See Grandparents For The Holidays During COVID-19? Experts Weigh In. The third wave of COVID-19 is here. So what do family gatherings with older relatives look like now?  #Grand #COVID19,"#Grand, #COVID19",,,
MaryMacElveen,,https:// origins-of-covid-19/ … President Trump just exposed this information on  #COVID19,#COVID19,,,
Rubidoooo,,"How many Covid-19 shots/boosters have they rolled out in different countries in the world?

In Sweden they are now promoting for & rolling out booster no 9 of what I´ve heard!! #Covid19",#Covid19,,,
EMA Journal,,"Characteristics and predictors of severe outcomes of  #COVID19  cases presenting to the ED
 
  https:// 723.70040 … #OpenAccess @mmdinh @WileyHealth @acemonline","#COVID19, #OpenAccess",,,
Didi Dumm,,#Memories : 5 years ago - the  #wind #turbine  ( #walk #spring #goodbyewinter #windturbine #blue #sky #sunshine #sunlight #light #sun #backlight #backlit #energy #windpower #power #energy #windenergy #Corona #COVID19 ),"#Memories, #wind, #turbine, #walk, #spring, #goodbyewinter, #windturbine, #blue, #sky, #sunshine, #sunlight, #light, #sun, #backlight, #backlit, #energy, #windpower, #power, #energy, #windenergy, #Corona, #COVID19",,,
Keith,,#Covid19 #BringBackMasks #LongCovid #teacher #LongCovidKids,"#Covid19, #BringBackMasks, #LongCovid, #teacher, #LongCovidKids",,,
"Barb Loe, NVIC",,"Health Secretary Shares Concerns About Efficacy of Novavax COVID-19 Vaccine After FDA Delay

Robert F. Kennedy Jr. said the vaccine is not effective.  #Novavax #COVID19 #Vaccine","#Novavax, #COVID19, #Vaccine",,,
ACIPC,,"ACIPC calls for consistent use of PFR masks—not surgical masks—in healthcare settings with suspected or confirmed COVID-19. Current guidelines underestimate airborne risks. 

Read the full Position Statement:  https:// ment-on-pfr-masks-in-covid-19-management/ … #IPC #COVID19 #HealthcareSafety #ACIPC #PPE","#IPC, #COVID19, #HealthcareSafety, #ACIPC, #PPE",,,
redpillbot,,The CIA calls people conspiracy theorists to deflect from their illegal actions.  #WeThePeople  believe they were involved with the murder  #Kennedy  & creating  #COVID19 .,"#WeThePeople, #Kennedy, #COVID19",,,
AB,,Eddington’s poster uses Wojnarowicz’s Untitled (Buffalos) to draw a haunting parallel: the red vs. blue divide in 2020’s COVID crisis mirrors the AIDS tragedy—division leading to destruction in a small town. A cinematic critique of a nation at odds.  #Eddington #AriAster #COVID19,"#Eddington, #AriAster, #COVID19",,,
Thailand Medical News,,United Kingdom Sees Sudden Rise in COVID-19 Cases as New Wave Takes Hold. https:// ngdom-sees-sudden-rise-in-covid-19-cases-as-new-wave-takes-hold … #BreakingNews #COVID19 #News #SARSCoV2 #Europe,"#BreakingNews, #COVID19, #News, #SARSCoV2, #Europe",,,
JBAragon,,"Nouvelle Publication sur la MYOCARDITE après la vaccination contre la  #covid19  : 
Les auteurs, des pointures mondiales, exhortent ""les gouvernements à retirer du marché les produits à base d'ARNm contre la COVID-19 en raison du risque bien documenté de lésions myocardiques "" ",#covid19,,,
Puls Medycyny,,"Rozpoczyna się proces 45 lekarzy, którym rzecznik odpowiedzialności zawodowej zarzucił rozpowszechnianie informacji niezgodnych z wiedzą medyczną. Chodzi o ich stosunek do szczepień podczas pandemii  #COVID19 . Grozi im utrata prawa wykonywania zawodu.",#COVID19,,,
Tech Junkie,,"How  #NintendoSwitch  Became The Top-Selling Console In America  https:// #gaming #GamesTj #GamingNews #GameDesign #GameDev #USA #investing #TechJunkieNews #Tech    (video, 2021)  #Japan #Asia #NintendoSwitch2 #Nintendo #Economics #MobileGames #COVID19","#NintendoSwitch, #gaming, #GamesTj, #GamingNews, #GameDesign, #GameDev, #USA, #investing, #TechJunkieNews, #Tech, #Japan, #Asia, #NintendoSwitch2, #Nintendo, #Economics, #MobileGames, #COVID19",,,
无欲则刚,,"Jamie Metal: 

今天，我们发布了旨在追究中共国政府在  #COVID19  疫情中责任的立法草案。美国国会必须通过这项立法，并将其提交给总统签署。",#COVID19,,,
KiapiKFreddieAK@81,KiapiKFreddieAK@81,"Post  #Covid19  many SMEs where promised  #Bailout  but it never came, so many had to close shop  @UDB_Official @rggoobi @PSF_Uganda @Mglsd_UG @mofpedU @EPRC_official @BalaamAteenyiDr","#Covid19, #Bailout",,,
Xavier Hugonet,,Allez. Au suivant ! #Covid19 #SarsCoV2 #Covidiots #Droit #Justice #Sante,"#Covid19, #SarsCoV2, #Covidiots, #Droit, #Justice, #Sante",,,
KenyanGermanLady,,"No! Of course not! We will not forget  #COVID #COVID19 #CoronaVirus , according to  @realDonaldTrump , the "" #ChineseVirus "".","#COVID, #COVID19, #CoronaVirus, #ChineseVirus",,,
News18,,"#TalkStraight  | Over the past decade, the term “supply chain diversification"" has gone from being a technical trade term to a real-time necessity. @SSanbeer  |  #DonaldTrump #UnitedStatesofamerica #Covid19 https:// ht-talk-tariffs-and-tectonic-shifts-trumps-trade-war-can-catapult-india-forward-ws-l-9302390.html …","#TalkStraight, #DonaldTrump, #UnitedStatesofamerica, #Covid19",,,
MovieMarbie,,"【 #NEWS 】
未知のウイルスに<最前線>で挑んだ事実に基づく物語。映画『 #フロントライン 』本予告解禁！ 主演  #小栗旬  コメント＆本ポスターも解禁！

詳しくはこちら https:// #コロナ #COVID19 #松坂桃李 #池松壮亮 #窪塚洋介","#NEWS, #フロントライン, #小栗旬, #コロナ, #COVID19, #松坂桃李, #池松壮亮, #窪塚洋介",,,
Chemical & Biological Weapons,,"#Biosecurity #GainOfFunction #COVID19 #Research  
How Virologists Lost the Gain-of-Function Debate https:// ow-virologists-lost-the-gain-of-function-debate … [...]

As with so many other scientific controversies in our political life, public opinion on Covid origins has come to track — and serve as a signifier for","#Biosecurity, #GainOfFunction, #COVID19, #Research",,,
Iain Ballesty,,"We need to have the conversation /public health campaign, on how to minimize the chances of  #covid19  -->  #LongCovid .  Rest and fully recover helps.  Paxlovid? (Dubious). Metformin (BMI dependent?). See thread here:","#covid19, #LongCovid",,,
Black In Mathematics Association (BMA),,"BMA congratulates the top 4 teams of the  #MAEPIMS  challenge, sponsored by  @MAEPiMSchalleng . In just 96 hours,  #undergrad  &  #grad  students tackled a  #COVID19  problem with  #math  models &  #ML , guided by  #PhD  mentors. Great work, wishing you more wins ahead! #BMA #Hackathon","#MAEPIMS, #undergrad, #grad, #COVID19, #math, #ML, #PhD, #BMA, #Hackathon",,,
Yukis life,,#COVID19 #Australia #coffeebreak #facts #Melbourne,"#COVID19, #Australia, #coffeebreak, #facts, #Melbourne",,,
Observer,,"Trump zündet die nächste Stufe im Zollkrieg gegen China! Das white House veröffentlicht ein Lügenmanifest. 

Trump escalates the next phase of the trade war against China! The White House releases a manifesto of lies. #covid19",#covid19,,,
Bioxytran Inc.,,$BIXT  CCO  @MikeSheikh2  Interview and Business Update on  @emergingrowth  11:25 AM EST.  Get Ready Register NOW!  #virology #bigpharmadeals #galectinscience #COVID19 #RSV #H5N1 #H1N1 https:// ei=1705403&tp_key=612b99c876&sti=bixt …,"#virology, #bigpharmadeals, #galectinscience, #COVID19, #RSV, #H5N1, #H1N1",,,
"Gavi, the Vaccine Alliance",,"From  #cholera  to  #COVID19 , infectious diseases don't create inequalities – they reveal them.  @jacobinoire 's book ""A History of the World in Six Plagues"" examines how contagion, class and captivity have shaped global health outcomes for centuries.  https://  via","#cholera, #COVID19",,,
Stefan Simanowitz,,"5 years ago, me &  @peterjukes  broke the  #GreenwichSpeech  scandal

It was not only the smoking gun of the govt’s deadly  #COVID19  strategy but also lifted the veil on the  #PalantirPlan : deregulation population-wide genomic data collection UK as “Superman”","#GreenwichSpeech, #COVID19, #PalantirPlan",,,
Jan B. Hommel,,"How incredibly interesting,  @DrGrahamLJ ! 

I've read a lot about  #COVID19 , wrote several blogs, but completely missed this! 

Every doctor should read this. As well as every lay person with some interest in the matter should. 

Thank you!  #vasculopathy","#COVID19, #vasculopathy",,,
Kaiser Permanente Research NorCal,,Great to see  @Luis_A_Rguez @KPDOR @knorcal  present new research at the  @HCSRN  Annual Conference looking at  #diabetes  incidence before and after the  #COVID19  pandemic in people with  #prediabetes .    #HCSRN,"#diabetes, #COVID19, #prediabetes, #HCSRN",,,
Paweł Budrewicz,,"Wybory wyborami, ale na początku kwietnia stuknęła nam 5. rocznica covidiańskiego zamknięcia lasów. To dopiero była fantazja!

Jak bardzo zamknięcie lasów pomogło Wam nie umrzeć na głupowid? #covid19 #idiokracja","#covid19, #idiokracja",,,
SantépubliqueFrance,,"Retour sur la surveillance hivernale 2024-2025 des Infections respiratoires aiguës. Pic d’activité en janvier à un niveau très élevé en ville et à l’hôpital, lié à l’épidémie de grippe

Consultez le bilan de la saison  https:// #COVID19 #Grippe #Bronchiolite","#COVID19, #Grippe, #Bronchiolite",,,
Maria Van Kerkhove,,"Thank you  @BBCr4today  for speaking with me today about the  #PandemicAccord  agreed by  @WHO  Member States. This is an extraordinary accomplishment for global health and for everyone living in our interconnected world. 

This milestone is applying lessons learned from  #COVID19","#PandemicAccord, #COVID19",,,
ARS Grand Est,," Dès aujourd'hui, la campagne de renouvellement de la  #vaccination  contre la  #Covid19  débute pour les personnes les plus fragiles et se poursuit jusqu’au 14 juin 2025    Limiter la propagation du virus tout au long de l’année   https://","#vaccination, #Covid19",,,
Hendricus G Loos,,"APR 16 2025 |  #SWITZERLAND #Geneva  | Five years after the emergence of COVID-19, WHO Member States conclude negotiations on the pandemic agreement draft.

• It will be submitted to the World Health Assembly  @WHO  from 19 to 27 May for adoption. #WHO #PandemicAccord #COVID19","#SWITZERLAND, #Geneva, #WHO, #PandemicAccord, #COVID19",,,
Ministère des Solidarités,,"#VaccinerProtéger  | Le renouvellement vaccinal contre le  #Covid19  est lancé à partir d'aujourd'hui et jusqu’au 14 juin.  Il est recommandé pour les personnes les plus fragiles, exposées aux risques de complications graves.  RDV chez un pro. de santé ou sur","#VaccinerProtéger, #Covid19",,,
Calum Webster,,I want doctors to know that  #SarsCov2  is an airborne pathogen and know the implications of contracting  #Covid19 .,"#SarsCov2, #Covid19",,,
FizeekBio,,Grow old enough to experience the schizophrenia pandemic potentially due to afflict civilization over the coming decades.  #COVID19,#COVID19,,,
Alex,,"We wanted to update all our wonderful patrons and donors, who have stuck with us as we continue this ‘David and Goliath’ battle for justice, for the  #covid19 #vaccine  injured and bereaved.","#covid19, #vaccine",,,
DR. CINISMO,,"Caso Balanzoni. Alcune domande (ancora senza risposta):
1.Gli Ordini hanno ubbidito al legislatore o al governo  #Speranza – #Draghi ? http://  vaccinazione anti  #COVID19  era davvero prevista dalla legge o è stata imposta “aliud pro alio” (cioè: una cosa al posto di","#Speranza, #Draghi, #COVID19",,,
Endless Revolt,,"Get reliable, curated, Covid-19 news, videos and scientific publications at your fingertips.  #CovidIsNotOver #ThatCovidLife #Covid19 #mobile #app #iOS #Android","#CovidIsNotOver, #ThatCovidLife, #Covid19, #mobile, #app, #iOS, #Android",,,
𝐒.𝐇𝐄𝐑𝐑𝐘 𝟏𝟏𝟖,,「今天我們發布了我們的立法草案，要求中國政府對  #COVID19  大流行承擔責任和賠償。美國國會必須通過這項立法，並將其送交總統簽署。」,#COVID19,,,
Dr. Adrian Wong (dradrianwong.bsky.social),,Did 7 states file criminal referrals against Anthony Fauci and other top officials for COVID crimes?!  https:// iminal-referrals-7-states-fact-check/ … #TechARP #AnthonyFauci #Crime #COVID19 #Vaccine #Vaccination #Health #Controversy #Conspiracy #Law #Fact #Facts #FactCheck #Hoax #Fake #FakeNews,"#TechARP, #AnthonyFauci, #Crime, #COVID19, #Vaccine, #Vaccination, #Health, #Controversy, #Conspiracy, #Law, #Fact, #Facts, #FactCheck, #Hoax, #Fake, #FakeNews",,,
South Centre,," Join us for a  @South_Centre  webinar!   

Strengthening Antimicrobial Stewardship Policy: Insights from  #COVID19  & Future Pandemic Preparedness    14 April 2025 |   12:00 PM CEST |   Virtual (Zoom)

Learn from experts on  challenges & solutions for LMICs.",#COVID19,,,
Alberto Román,,El agravamiento del  #COVID19  persistente tras 5 años de pandemia.,#COVID19,,,
SantépubliqueFrance,," A partir d'aujourd'hui et jusqu'au 14 juin 2025, les personnes vulnérables sont invitées à recevoir une  #vaccination  supplémentaire contre le  #Covid19 . Cette démarche s’inscrit dans une volonté collective de protéger les populations les fragiles.  https://","#vaccination, #Covid19",,,
News18,,"US President Donald Trump’s White House on Friday launched a COVID-19 website that explores the origin of the pandemic, blaming it on China lab leaks.  #DonaldTrump #WhiteHouse #Covid19 #JoeBiden #China https:// use-launches-covid-19-website-blames-china-for-origin-criticises-who-biden-administration-9304967.html …","#DonaldTrump, #WhiteHouse, #Covid19, #JoeBiden, #China",,,
Claudicant,,Jacinda saved many many many lives of New Zealanders by shutting up and locking down. NZ health had no chance with a rampant  #Covid19 .  #ChurArdern,"#Covid19, #ChurArdern",,,
Harry Spoelstra,,"""The pattern of lung disease we saw on medical imaging in people with  #COVID19  tells us that the disease is NOT pneumonia, it is a vasculopathy (disease of blood vessels).""  The long road to recognition, acceptance, and publication!
Great , lessons learned,worth your time!",#COVID19,,,
MagLiber,,"Une première  Il était temps !

On aurait aimé qu'ils soient la pour nous les millions de non  #Covid19  ostracises et maltraités
Par l'hôpital Public !
Mais pas que !",#Covid19,,,
al-khoussein,,Mai  #COVID19  bi Lii yeup amnassi yèn thieuy  #Xalisso,"#COVID19, #Xalisso",,,
LCEUS-Long CoVID Euskal Herria Elkartea,,#CoVID19  y Cáncer,#CoVID19,,,
Keith,,#Covid19 #BringBackMasks #LongCovid #LongCovidKids,"#Covid19, #BringBackMasks, #LongCovid, #LongCovidKids",,,
Thailand Medical News,,Scientists from India Discover That Dengue Is Causing SAR-CoV-2 Strains to Mutate Faster in Certain Geolocations https:// s-from-india-discover-that-dengue-is-causing-sar-cov-2-strains-to-mutate-faster-in-certain-geolocations … #BreakingNews #COVID19 #News #SARSCoV2 #Dengue #Mutations #BREAKING #WorldNews #India #USA #America #UnitedStates #Europe #France #Germany,"#BreakingNews, #COVID19, #News, #SARSCoV2, #Dengue, #Mutations, #BREAKING, #WorldNews, #India, #USA, #America, #UnitedStates, #Europe, #France, #Germany",,,
Polydeuces,,Considering  @realDonaldTrump  lies and everyone associated with  #TrumpisaNationalDisgrace  lies I refuse to believe anything he or his  #fascist  people 'report' on  #COVID19  . I still trust  #Fauci  and real scientists.,"#TrumpisaNationalDisgrace, #fascist, #COVID19, #Fauci",,,
ARS Nouvelle-Aquitaine,,"#VaccinerProtéger  | Le renouvellement vaccinal contre le  #Covid19  est lancé à partir d'aujourd'hui et se poursuit jusqu'au 14 juin,  Il est recommandé pour les personnes les plus fragiles, exposées aux risques de complications graves.  :  https:// ies/maladies/maladies-et-infections-respiratoires/covid-19/vaccin-covid-19/la-vaccination-contre-le-covid-19-tout-savoir-tout-comprendre/article/la-vaccination-contre-le-covid-19-tout-savoir-tout-comprendre …","#VaccinerProtéger, #Covid19",,,
Dr. Hemalatha Ramachandran,,"Appreciate you sharing this, David. The link between SARS-CoV-2 and accelerated epigenetic aging—especially in women—is a wake-up call. Reversing biological age isn't just longevity science anymore, it’s public health.  #Epigenetics #COVID19","#Epigenetics, #COVID19",,,
Jason Smith - 上官杰文,,"China is the King of Solar

China is the global leader in installed solar capacity and its not even close. #Climate #ClimateStrike #Solar","#Climate, #ClimateStrike, #Solar",,,
Nakabuye Hilda F.,,"What do we want? - Climate Justice. 

When do we want it? - Now. 

For humanity to survive, we need to prioritize Climate Action Now.  #ClimateActionNow #ClimateStrike .  #FridaysForFuture","#ClimateActionNow, #ClimateStrike, #FridaysForFuture",,,
Jason Smith - 上官杰文,,China is the king of green energy research! #Climate #ClimateStrike #China,"#Climate, #ClimateStrike, #China",,,
Jason Smith - 上官杰文,,"No country in history has ever added as many total trees as China.

Not ever. Not even close. #ClimateStrike #Climate #China","#ClimateStrike, #Climate, #China",,,
CleanCyclers,,ARE WE DOING ENOUGH TO SAVE OUR PLANET #ClimateChange #ClimateCrisis #GlobalWarming #Sustainability #SaveThePlanet #ClimateAction #EcoFriendly #GoGreen #ClimateJustice #EnvironmentalJustice #JustTransition #ClimateStrike #FridaysForFuture #GreenNewDeal #ActOnClimate #NoPlanetB,"#ClimateChange, #ClimateCrisis, #GlobalWarming, #Sustainability, #SaveThePlanet, #ClimateAction, #EcoFriendly, #GoGreen, #ClimateJustice, #EnvironmentalJustice, #JustTransition, #ClimateStrike, #FridaysForFuture, #GreenNewDeal, #ActOnClimate, #NoPlanetB",,,
350 Asia,,Global  #ClimateStrike !  http://  Bangladesh joined Fridays for Future at Dhaka to demand: Climate justice NOW  Adequate climate finance  End to fossil fuels  Meaningful youth participation in NDCs  The climate crisis won't wait - neither will we!,#ClimateStrike,,,
ActivistJerry,,"WATCH THE SECOND DOCUMENTARY TITLED:
THE FRAUD OF CLIMATE CHANGE!

Climate change is a significant and complex issue affecting the global environment and human societies. But we know the fraud of it  #ClimateChangefraud #ClimateStrike #ActOnClimate #ClimateAction","#ClimateChangefraud, #ClimateStrike, #ActOnClimate, #ClimateAction",,,
Jason Smith - 上官杰文,,"In addition to hemming in the deserts with ring after ring of new forests, China is also taking advantage of the deep desert to create massive solar power projects. #ClimateStrike #Solar #China","#ClimateStrike, #Solar, #China",,,
Klimastreik Schweiz #ClimateJusticeNow,,Climatestrike  Switzerland stands in solidarity with Balochistan #ReleaseMahrangBaloch #StopBalochGenocide,"#ReleaseMahrangBaloch, #StopBalochGenocide",,,
Allan Hedin,,#FridaysForFuture #ClimateStrike #DigitalStrike #ClimateStrikeOnline #FightFor1Point5 #PeopleNotProfit #TippingPoints Week # 270,"#FridaysForFuture, #ClimateStrike, #DigitalStrike, #ClimateStrikeOnline, #FightFor1Point5, #PeopleNotProfit, #TippingPoints",,,
Humayara Jeba,,"Today’s Climate Strike In Sylhet,  Bangladesh.  #climateStrike #DontSellOurFuture @Fridays4future @YouthNetGlobal @SohanYouthNetG","#climateStrike, #DontSellOurFuture",,,
Jason Smith - 上官杰文,,"China's Hurricane Proof, Eiffel-Tower-Sized Wind Turbine Hits the Market

Dongfang Electric Corporation unveiled the massive, record-setting 26-megawatt offshore wind turbine.

It can power around 55,000 Chinese homes with merely 22 mph winds. #ClimateStrike #Climate #China","#ClimateStrike, #Climate, #China",,,
Jason Smith - 上官杰文,,People who claim China's CO2 emissions are the problem need to spend more time looking at the data. #ClimateStrike #Climate #CO2,"#ClimateStrike, #Climate, #CO2",,,
UllapoolSharkAmbassador,,"Climate strike week 323

Now is not the time for fossil fuel companies to scale back on renewable energy projects. #fridaysforfuture #climatestrike #peoplenotprofit #climatejusticenow","#fridaysforfuture, #climatestrike, #peoplenotprofit, #climatejusticenow",,,
Auber Fichess #FreePalestine,,"Week 74  #ClimateStrike  in  #Angola I throw a cat at this oppressive system, freedom to all Palestine. #FridaysForFuture #tomorrowistoolate #UprootTheSystem #FaceTheClimateEmergency #PeopleNotProfit #twiff  1, Fridays 4 Future Angola, Luanda ,Angola, 04,04,2025","#ClimateStrike, #Angola, #FridaysForFuture, #tomorrowistoolate, #UprootTheSystem, #FaceTheClimateEmergency, #PeopleNotProfit, #twiff",,,
Michael Kalmanovitch,,There will be a march from the UofA to the legislature in Edmonton at noon on Friday. #ClimateStrike #FridaysForFuture,"#ClimateStrike, #FridaysForFuture",,,
Allan Hedin,,#FridaysForFuture #ClimateStrike #DigitalStrike #ClimateStrikeOnline #FightFor1Point5 #PeopleNotProfit #TippingPoints Week # 287,"#FridaysForFuture, #ClimateStrike, #DigitalStrike, #ClimateStrikeOnline, #FightFor1Point5, #PeopleNotProfit, #TippingPoints",,,
